,State,City,,,,City,,,,
,Utah,Salt Lake City,,,,Salt Lake City,Salt Lake City,,,
,Utah,West Valley City,,,,West Valley City,Westbury,,,
,Utah,Cedar City,,,,Cedar City,Center,,,
,Utah,Park City,,,,Park City,Parowan,,,
,Utah,Heber City,,,,Heber City,Herriman,,,
,Utah,Brigham City,,,,Brigham City,#N/A,,,
,California,Yuba City,,,,Yuba City,Yuba City,,,
,California,National City,,,,National City,New Market,,,
,California,Culver City,,,,Culver City,Daphne,,,
,California,Daly City,,,,Daly City,Decatur,,,
,California,Redwood City,,,,Redwood City,Ridgefield,,,
,California,King City,,,,King City,#N/A,,,
,California,Cathedral City,,,,Cathedral City,Centreville,,,
,California,Sun City,,,,Sun City,Tanner,,,
,California,Harbor City,,,,Harbor City,Hazelwood,,,
,California,Sand City,,,,Sand City,Saratoga Springs,,,
,New York,New York City,,,,New York City,New York,,,
,New York,Long Island City,,,,Long Island City,Mahwah,,,
,New York,Garden City,,,,Garden City,Glenville,,,
,New York,Newburgh,,,,Newburgh,Northglenn,,,
,New York,City Island,,,,City Island,#N/A,,,
,New York,Co-op City,,,,Co-op City,#N/A,,,
,New York,Starrett City,,,,Starrett City,#N/A,,,Arizona City
,New York,LeFrak City,,,,LeFrak City,#N/A,,,Bullhead City
,Missouri,Kansas City,,,,Kansas City,Laguna Hills,,,
,Missouri,Jefferson City,,,,Jefferson City,Laceys Spring,,,
,Missouri,Platte City,,,,Platte City,#N/A,,,Carson City
,Missouri,University City,,,,University City,#N/A,,,Cathedral City
,Missouri,Webb City,,,,Webb City,White Plains,,,
,Missouri,Wright City,,,,Wright City,#N/A,,,Cedar City
,Missouri,Kimberling City,,,,Kimberling City,#N/A,,,City Of Industry
,Missouri,Crystal City,,,,Crystal City,#N/A,,,City Of Orange
,Florida,Panama City / Panama City Beach,,,,Panama City / Panama City Beach,#N/A,,,Culver City
,Florida,Lake City,,,,Lake City,#N/A,,,Daly City
,Florida,Cooper City,,,,Cooper City,#N/A,,,Foster City
,Florida,Plant City,,,,Plant City,#N/A,,,Garden City
,Florida,Florida City,,,,Florida City,#N/A,,,Granite City
,Florida,Orange City,,,,Orange City,#N/A,,,Harbor City
,Florida,Dade City,,,,Dade City,#N/A,,,Heber City
,Florida,Haines City,,,,Haines City,#N/A,,,Huachuca City
,Florida,Palm City,,,,Palm City,#N/A,,,Jefferson City
,Florida,Polk City,,,,Polk City,#N/A,,,Jersey City
,New Jersey,Jersey City,,,,Jersey City,Lancaster,,,
,New Jersey,Union City,,,,Union City,Waynesville,,,
,New Jersey,Atlantic City,,,,Atlantic City,#N/A,,,Johnson City
,New Jersey,Ocean City,,,,Ocean City,#N/A,,,Kansas City
,New Jersey,Gloucester City,,,,Gloucester City,#N/A,,,Lake Havasu City
,New Jersey,Neptune City,,,,Neptune City,#N/A,,,Long Island City
,Oklahoma,Oklahoma City,,,,Oklahoma City,#N/A,,,National City
,Oklahoma,Midwest City,,,,Midwest City,#N/A,,,New Washoe City
,Oklahoma,Del City,,,,Del City,#N/A,,,Panorama City
,Oklahoma,Ponca City,,,,Ponca City,#N/A,,,Park City
,Kansas,Park City,,,,Park City,Providence,,,
,Kansas,Kansas City (KS),,,,Kansas City (KS),#N/A,,,Pell City
,Kansas,Junction City,,,,Junction City,#N/A,,,Phenix City
,Kansas,Garden City,,,,Garden City,Harriman,,,
,Kansas,Dodge City,,,,Dodge City,#N/A,,,Redwood City
,Kansas,Baldwin City,,,,Baldwin City,#N/A,,,Salt Lake City
,Texas,Missouri City,,,,Missouri City,#N/A,,,Sand City
,Texas,Royse City,,,,Royse City,#N/A,,,Studio City
,Texas,League City,,,,League City,#N/A,,,Suisun City
,Texas,Texas City,,,,Texas City,#N/A,,,Sun City
,Texas,Bay City,,,,Bay City,#N/A,,,Union City
,Texas,Haltom City,,,,Haltom City,#N/A,,,Webb City
,Texas,Universal City,,,,Universal City,#N/A,,,West Valley City
,Texas,Lakeside City,,,,Lakeside City,#N/A,,,Yuba City
,Texas,Horizon City,,,,Horizon City,#N/A,,,
,South Dakota,Rapid City,,,,Rapid City,#N/A,,,
